dropout,weight_decay,lr,trialJobId,transform,dataset,target,reward
0.3,1e-05,1e-05,FrceK,AE,deap,valence,93.6796875
0.3,0.0001,1e-05,J5AZa,AE,deap,valence,93.31119689941406
0.3,0.001,1e-05,jU92S,AE,deap,valence,91.92447814941406
0.3,1e-05,0.0001,HMSFD,AE,deap,valence,96.7226577758789
0.3,0.0001,0.0001,P8UOo,AE,deap,valence,96.51171875
0.3,0.001,0.0001,g1aha,AE,deap,valence,95.97395629882813
0.3,1e-05,0.001,KZKVL,AE,deap,valence,95.08203125
0.3,0.0001,0.001,cDhGS,AE,deap,valence,87.01041564941406
0.3,0.001,0.001,SObQO,AE,deap,valence,76.65494689941406
0.4,1e-05,1e-05,VTp4I,AE,deap,valence,93.65755310058594
0.4,0.0001,1e-05,UZssR,AE,deap,valence,93.32942657470703
0.4,0.001,1e-05,P6aNc,AE,deap,valence,91.81249694824218
0.4,1e-05,0.0001,tdL7V,AE,deap,valence,97.03255004882813
0.4,0.0001,0.0001,dUp2y,AE,deap,valence,96.16927032470703
0.4,0.001,0.0001,QLG1h,AE,deap,valence,96.01301879882813
0.4,1e-05,0.001,VgKPz,AE,deap,valence,95.33854217529297
0.4,0.0001,0.001,DggkI,AE,deap,valence,94.45052185058594
0.4,0.001,0.001,Vdhxr,AE,deap,valence,77.42578125
0.5,1e-05,1e-05,eahds,AE,deap,valence,93.60416564941406
0.5,0.0001,1e-05,sRgCp,AE,deap,valence,93.1601577758789
0.5,0.001,1e-05,WNvZ2,AE,deap,valence,91.8085952758789
0.5,1e-05,0.0001,EJE7h,AE,deap,valence,96.5976547241211
0.5,0.0001,0.0001,cmmRt,AE,deap,valence,96.56901092529297
0.5,0.001,0.0001,j8qXJ,AE,deap,valence,95.75130310058594
0.5,1e-05,0.001,kuvB7,AE,deap,valence,95.38020782470703
0.5,0.0001,0.001,kApxb,AE,deap,valence,86.25260620117187
0.5,0.001,0.001,ZOjVC,AE,deap,valence,83.71875
0.3,1e-05,1e-05,dvK7l,AE,deap,arousal,93.90364379882813
0.3,0.0001,1e-05,OdsRb,AE,deap,arousal,93.89192810058594
0.3,0.001,1e-05,JUJGO,AE,deap,arousal,92.92838439941406
0.3,1e-05,0.0001,JqmFd,AE,deap,arousal,96.85807495117187
0.3,0.0001,0.0001,LdfrU,AE,deap,arousal,96.67838439941406
0.3,0.001,0.0001,UNbHB,AE,deap,arousal,96.31900939941406
0.3,1e-05,0.001,cRJyo,AE,deap,arousal,95.5
0.3,0.0001,0.001,GxSBB,AE,deap,arousal,94.67838592529297
0.3,0.001,0.001,Zz9F5,AE,deap,arousal,85.82552032470703
0.4,1e-05,1e-05,CRnoL,AE,deap,arousal,94.04947967529297
0.4,0.0001,1e-05,IenPo,AE,deap,arousal,93.61979064941406
0.4,0.001,1e-05,VgyFs,AE,deap,arousal,93.22135314941406
0.4,1e-05,0.0001,HbKxm,AE,deap,arousal,96.79947967529297
0.4,0.0001,0.0001,xBpWE,AE,deap,arousal,96.828125
0.4,0.001,0.0001,qD0us,AE,deap,arousal,95.6328125
0.4,1e-05,0.001,eWEvZ,AE,deap,arousal,95.40104217529297
0.4,0.0001,0.001,yQGod,AE,deap,arousal,94.81510314941406
0.4,0.001,0.001,iyiia,AE,deap,arousal,79.15755157470703
0.5,1e-05,1e-05,KPqss,AE,deap,arousal,93.76432342529297
0.5,0.0001,1e-05,tq12w,AE,deap,arousal,93.66145935058594
0.5,0.001,1e-05,tkHGM,AE,deap,arousal,92.75130157470703
0.5,1e-05,0.0001,nkQVs,AE,deap,arousal,96.64192657470703
0.5,0.0001,0.0001,moD1o,AE,deap,arousal,96.85286407470703
0.5,0.001,0.0001,khYvm,AE,deap,arousal,96.30078125
0.5,1e-05,0.001,qxD1K,AE,deap,arousal,94.8984359741211
0.5,0.0001,0.001,V9hfN,AE,deap,arousal,94.7773452758789
0.5,0.001,0.001,KMsXA,AE,deap,arousal,85.02864532470703
